bet_id,season,week_number,week,rank,pick,opponent,probability,odds,decimal_price,stake,potential_return,potential_profit,recorded_at_utc,status,winner,result,gross_return,net_profit
2026-01-BUF-HOU,2026,1,2026 Week 1,1,BUF,HOU,51.74,-118.0,1.847,1000.0,1847.0,847.0,2026-09-12T04:48:56+00:00,Pending,,,,
2026-01-NYJ-TEN,2026,1,2026 Week 1,2,TEN,NYJ,52.61,-122.0,1.82,1000.0,1820.0,820.0,2026-09-12T04:48:56+00:00,Pending,,,,
2026-01-GB-MIN,2026,1,2026 Week 1,3,MIN,GB,53.25,-125.0,1.8,1000.0,1800.0,800.0,2026-09-12T04:48:56+00:00,Pending,,,,
2026-01-DEN-KC,2026,1,2026 Week 1,4,KC,DEN,57.21,-148.0,1.676,1000.0,1676.0,676.0,2026-09-12T04:48:56+00:00,Pending,,,,
2026-01-DAL-NYG,2026,1,2026 Week 1,5,DAL,NYG,59.34,-162.0,1.617,1000.0,1617.0,617.0,2026-09-12T04:48:56+00:00,Pending,,,,
2026-01-CAR-CHI,2026,1,2026 Week 1,6,CHI,CAR,59.96,-166.0,1.602,1000.0,1602.0,602.0,2026-09-12T04:48:56+00:00,Pending,,,,
2026-01-LV-MIA,2026,1,2026 Week 1,7,LV,MIA,60.38,-170.0,1.588,1000.0,1588.0,588.0,2026-09-12T04:48:56+00:00,Pending,,,,
2026-01-BAL-IND,2026,1,2026 Week 1,8,BAL,IND,60.92,-175.0,1.571,1000.0,1571.0,571.0,2026-09-12T04:48:56+00:00,Pending,,,,
2026-01-CIN-TB,2026,1,2026 Week 1,9,CIN,TB,64.47,-205.0,1.488,1000.0,1488.0,488.0,2026-09-12T04:48:56+00:00,Pending,,,,
2026-01-PHI-WAS,2026,1,2026 Week 1,10,PHI,WAS,68.54,-250.0,1.4,1000.0,1400.0,400.0,2026-09-12T04:48:56+00:00,Pending,,,,
2026-01-ATL-PIT,2026,1,2026 Week 1,11,PIT,ATL,69.58,-265.0,1.377,1000.0,1377.0,377.0,2026-09-12T04:48:56+00:00,Pending,,,,
2026-01-DET-NO,2026,1,2026 Week 1,12,DET,NO,74.09,-340.0,1.294,1000.0,1294.0,294.0,2026-09-12T04:48:56+00:00,Pending,,,,
2026-01-CLE-JAX,2026,1,2026 Week 1,13,JAX,CLE,78.67,-455.0,1.22,1000.0,1220.0,220.0,2026-09-12T04:48:56+00:00,Pending,,,,
2026-01-ARI-LAC,2026,1,2026 Week 1,14,LAC,ARI,80.0,-500.0,1.2,1000.0,1200.0,200.0,2026-09-12T04:48:56+00:00,Pending,,,,
